ID,名稱,依據照片,限制
42,右下銀色橫向分支,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
43,右下黃銅支座,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
44,右下黑色圓筒,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
45,右下帶圓孔黃銅片架,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
46,右側連接鏡筒,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
47,前側大旋鈕可見段,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
48,前側小調整桿,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
49,後方金屬盒,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
50,後方右側電路板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
51,左後方水平小電路板,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
52,左後方可見接頭,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
53,左後方可見接頭,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
54,左後方可見接頭,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
55,左後方可見接頭,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
56,左後方可見接頭,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
57,可見平滑線束 1,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
58,可見平滑線束 2,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
59,可見平滑線束 3,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
60,可見平滑線束 4,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
61,可見平滑線束 5,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
62,可見平滑線束 6,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
63,可見平滑線束 7,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
64,可見平滑線束 8,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
65,可見平滑線束 9,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,依照片描出可見線束大致走向；遮住的接線留空。
66,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
67,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
68,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
69,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
70,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
71,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
72,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
73,照片可見固定螺絲,20260910_171623.jpg；高度參考 153030 / 153051 / 153102,照片可見外形；位置與尺寸按比例估算，非原廠 CAD。
