name,collection,evidence,uncertainty
R12_Frame_front,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R13_Diagonal_plate_edge,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R14_Diagonal_plate,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R15_Vertical_adjuster_block,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R16_Vertical_adjustment_spindle,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R17_Slider_round_knob,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R18_Lower_silver_barrel,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R19_Lower_cross_pin,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R20_Lower_brass_barrel,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R21_Lower_black_barrel,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
R22_Pierced_brass_flag,04_Right_mechanisms,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
E01_Metal_module,05_Electronics,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
E02_Upright_electronics_board,05_Electronics,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
E03_Board_component_0,05_Electronics,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
E03_Board_component_1,05_Electronics,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
E03_Board_component_2,05_Electronics,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
E04_Left_connector_board,05_Electronics,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
W01_Right_outer_loop_EST,06_Cable_envelopes_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible cable envelope only; hidden routing and endpoints not reconstructed.
W02_Right_inner_loop_EST,06_Cable_envelopes_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible cable envelope only; hidden routing and endpoints not reconstructed.
W03_Left_cable_loop_EST,06_Cable_envelopes_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible cable envelope only; hidden routing and endpoints not reconstructed.
W04_Left_inner_cable_EST,06_Cable_envelopes_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible cable envelope only; hidden routing and endpoints not reconstructed.
W05_Left_high_bundle_EST,06_Cable_envelopes_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible cable envelope only; hidden routing and endpoints not reconstructed.
W06_Right_board_bundle_EST,06_Cable_envelopes_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible cable envelope only; hidden routing and endpoints not reconstructed.
P01_Right_external_port_EST,07_External_ports_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
P02_Front_external_port_EST,07_External_ports_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
P03_Front_adjuster_EST,07_External_ports_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
P04_Front_adjuster_EST,07_External_ports_EST,20260910_171623.jpg; 153030; 153051; 153102,Visible plan envelope; elevation and hidden shape estimated.
