name,collection,evidence,certainty
IX01_Foot_0,01_IX71_Frame,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL17_Rear_fiber_socket,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
IL18_Fiber_visible_section_EST,05_IX71_Illumination,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST visible fiber envelope; source equipment excluded
CT01_Focus_coarse_-1,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT02_Focus_fine_-1,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT01_Focus_coarse_1,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT02_Focus_fine_1,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT03_Front_lightpath_dial,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT04_Lightpath_lever,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT05_Intensity_dial,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT06_Power_indicator,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CT07_Power_button,06_IX71_Controls,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_W06_Right_board_bundle_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_W05_Left_high_bundle_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_W04_Left_inner_cable_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_W03_Left_cable_loop_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_W02_Right_inner_loop_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_W01_Right_outer_loop_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R22_Pierced_brass_flag,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R21_Lower_black_barrel,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R20_Lower_brass_barrel,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R19_Lower_cross_pin,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R18_Lower_silver_barrel,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R17_Slider_round_knob,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R16_Vertical_adjustment_spindle,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R15_Vertical_adjuster_block,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R14_Diagonal_plate,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R13_Diagonal_plate_edge,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R12_Frame_front,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R11_Frame_rear,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R10_Frame_right,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R09_Frame_left,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R08_Slider_rail_1,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R08_Slider_rail_0,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R07_Slider_base,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R06_Angled_connector,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R05_Upper_clamp_X,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R04_Upper_clamp_Y,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R03_Upper_cylinder_X,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R02_Upper_cylinder_Y,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_R01_Upper_mount_plate,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_P04_Front_adjuster_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_P03_Front_adjuster_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_P02_Front_external_port_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_E04_Left_connector_board,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_E03_Board_component_2,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_E03_Board_component_1,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_E03_Board_component_0,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_E02_Upright_electronics_board,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_E01_Metal_module,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C25_Transverse_link,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C24_Actuator_vertical_board,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C23_Upper_actuator,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C22_Actuator_support,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C21_Longitudinal_sleeve,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C20_Longitudinal_drive_envelope_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C19_Bevel_drive_envelope_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C18_Transverse_brass_shaft,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C17_Wheel_face,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C16_Upright_wheel_axis_X,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C15_Wheel_support,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C14_Rear_channel_floor_EST,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C13_Rear_channel_end,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C12_Rear_channel_side,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C11_Left_folded_cover_return,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C10_Left_folded_cover_top,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C09_Long_plate_right_return,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C08_Long_plate_left_return,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C07_Pierced_long_plate,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C06_Brass_guide,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C05_Front_barrel,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C04_Rear_barrel_rim,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C03_Rear_barrel,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C02_Cast_support_step,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_C01_Cast_support_main,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_B06_Left_dark_baffle,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_B01_Double_window_bridge,08_FV300_Reused_Interior,v03 FV300_round1.blend; user four scanhead photos,v03 visible geometry retained; assembly scale and mounting elevation estimated
FV_H01_Floor_EST,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H02_Left_wall_EST,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H03_Right_wall_EST,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H04_Rear_wall_EST,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H05_Front_wall_EST,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H06_Partition_EST_0,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H06_Partition_EST_1,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H06_Partition_EST_2,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H06_Partition_EST_3,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H07_Foot_EST_0,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H07_Foot_EST_1,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H07_Foot_EST_2,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_H07_Foot_EST_3,09_FV300_Housing_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
FV_LID_Removable_EST,10_FV300_Lid_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,Photo/brochure visible cover; dimensions estimated.
CN01_Scanner_collar_EST,07_Side_connection_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CN02_Side_coupling_tube_EST,07_Side_connection_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CN03_IX71_port_flange_EST,07_Side_connection_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CN04_Lower_camera_adapter_EST,07_Side_connection_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
CN05_Lower_camera_front_EST,07_Side_connection_EST,Olympus IX71/IX81 brochure M1539E-0909B printed p28; user 153139/153147/153221,EST shape; catalog/photo constrained placement
